Machoke, Magneton, Fearow, Paras, Hitmonlee, Pinsir, Dragonite, Gyarados, Horsea, Ninetales, Golduck, Magnemite, 28.7742211819, 3, 522.78920764, 63.54124028, Dragonite, Dragonite, Moltres, Dragonite, Dragonite, Scyther, 27.5210263729, 4, 375.5010067, 53.6139288665, Nidoqueen, Flareon, Gyarados, Pidgey, Flareon, Shellder, 39.5118966103, 4, 448.67930631, 63.2103108623
Chansey, Seadra, Aerodactyl, Drowzee, Poliwrath, Venomoth, Dragonite, Weezing, Meowth, Snorlax, Muk, Kingler, 27.9768743515, 1, 912.27731291, 107.411585281, Dragonite, Jolteon, Gyarados, Dragonite, Slowbro, Dragonite, 27.0970716476, 4, 457.25990633, 74.8287442964, Electrode, Jolteon, Geodude, Slowbro, Blastoise, Machop, 39.0734906197, 3, 546.27420714, 83.0723105828
Gyarados, Dugtrio, Doduo, Sandslash, Beedrill, Seaking, Dragonite, Moltres, Electrode, Wigglytuff, Sandslash, Kabuto, 27.9843585491, 4, 417.82480616, 56.5824400714, Dragonite, Dragonite, Gyarados, Dragonite, Gyarados, Dragonite, 26.9616425037, 4, 378.61370679, 55.5732553375, Jolteon, Dragonite, Hypno, Dragonite, Ivysaur, Jolteon, 39.0935647488, 4, 449.03450615, 56.6061034113
Horsea, Psyduck, Tangela, Muk, Butterfree, Kabuto, Dragonite, Slowbro, Charmeleon, Rapidash, Nidorino, Flareon, 27.3925082684, 4, 394.77630621, 56.6257964994, Scyther, Dragonite, Moltres, Dragonite, Dragonite, Golem, 26.3431904316, 4, 329.25990633, 49.7397220649, Dragonite, Bellsprout, Gyarados, Seel, Psyduck, Raichu, 38.5731832981, 4, 417.71210607, 53.8455712693
Exeggcute, Raticate, Weezing, Sandshrew, Voltorb, Victreebel, Moltres, Pidgeot, Slowpoke, Pikachu, Koffing, Omastar, 27.6007466316, 2, 671.12450915, 71.826960405, Pinsir, Dragonite, Golem, Dragonite, Dragonite, Arcanine, 26.8446938992, 5, 311.70060402, 50.2360941809, Moltres, Dragonite, Jynx, Arcanine, Gengar, Scyther, 38.8639750481, 5, 311.47380446, 49.7100865772
Tauros, Aerodactyl, Drowzee, Rapidash, Horsea, Electabuzz, Gyarados, Primeape, Pinsir, Magneton, Exeggutor, Ponyta, 27.3541252613, 2, 634.5910097, 70.4576799832, Gyarados, Gyarados, Gyarados, Gyarados, Dragonite, Dragonite, 26.4762609005, 4, 459.67790693, 57.2210517665, Flareon, Jolteon, Gyarados, Jolteon, Kingler, Primeape, 38.6757690907, 3, 479.57950765, 59.389610268
Starmie, Nidoking, Mr. Mime, Mr. Mime, Tentacruel, Dewgong, Dragonite, Pinsir, Squirtle, Voltorb, Flareon, Zubat, 29.4379105568, 0, 783.97760992, 78.4315097473, Gyarados, Dragonite, Dragonite, Dragonite, Golem, Rhydon, 28.6337008476, 3, 567.64090903, 64.2162268646, Zapdos, Moltres, Dragonite, Golem, Moltres, Chansey, 40.4906125069, 3, 630.93190873, 74.1374567326
Pikachu, Magmar, Voltorb, Mr. Mime, Nidoking, Nidorina, Golem, Vaporeon, Machoke, Dragonite, Persian, Golbat, 28.6133861542, 4, 455.79060702, 60.9143180406, Dragonite, Dragonite, Snorlax, Dragonite, Snorlax, Dragonite, 27.6580781937, 5, 304.05440448, 47.3365421507, Dragonite, Dragonite, Dugtrio, Ivysaur, Magnemite, Kabutops, 39.4037795067, 5, 304.05440448, 47.3365421507
Gloom, Kadabra, Charmeleon, Rattata, Squirtle, Pidgey, Scyther, Hypno, Dragonite, Alakazam, Haunter, Muk, 24.8870415688, 5, 311.120004, 47.323893925, Golem, Porygon, Omastar, Tauros, Chansey, Lapras, 24.2483596802, 4, 419.4710057, 54.7543025349, Flareon, Alakazam, Poliwhirl, Rattata, Slowbro, Arbok, 35.8760528564, 5, 232.91170339, 33.2393590618
Victreebel, Spearow, Ponyta, Dodrio, Jolteon, Jynx, Dragonite, Ninetales, Aerodactyl, Mr. Mime, Tentacool, Ivysaur, 28.9379763603, 2, 686.15730891, 64.5584777488, Dragonite, Dragonite, Golem, Golem, Golem, Golem, 28.1708841324, 4, 445.06590653, 47.5542145561, Flareon, Alakazam, Rhydon, Raticate, Blastoise, Onix, 40.2351469994, 3, 487.14440748, 50.1573021617
Seaking, Dodrio, Exeggutor, Poliwrath, Tentacool, Omastar, Jolteon, Pikachu, Arcanine, Lapras, Kangaskhan, Clefable, 27.5751104355, 1, 882.01911297, 89.1804803977, Jolteon, Dragonite, Moltres, Dragonite, Dragonite, Venusaur, 26.6473329067, 3, 558.17440848, 68.1159458529, Jolteon, Ninetales, Slowpoke, Vaporeon, Weezing, Gengar, 38.7097992897, 3, 686.62520884, 86.3472220878
Golem, Abra, Porygon, Tauros, Pikachu, Gloom, Exeggutor, Dodrio, Doduo, Onix, Doduo, Poliwrath, 27.3868148327, 1, 726.09031001, 75.7774216945, Rhydon, Rhydon, Rhydon, Rhydon, Charizard, Dragonite, 26.5313243866, 4, 491.98320744, 51.5341014643, Hitmonlee, Golem, Charizard, Mr. Mime, Arcanine, Gyarados, 38.6845555305, 4, 397.98740558, 54.5167657472
Hitmonlee, Dratini, Abra, Psyduck, Vulpix, Charizard, Moltres, Abra, Weepinbell, Goldeen, Voltorb, Seaking, 27.3170795441, 1, 678.18730991, 58.801565563, Alakazam, Dragonite, Gyarados, Dragonite, Gyarados, Lapras, 26.5556471348, 5, 280.26550385, 36.2207706776, Vileplume, Gyarados, Pidgeotto, Dodrio, Rapidash, Hypno, 38.7020614147, 5, 336.45810427, 45.652076128
Omanyte, Voltorb, Horsea, Seaking, Blastoise, Diglett, Snorlax, Kabutops, Electabuzz, Parasect, Blastoise, Golem, 26.4121553898, 4, 517.67790693, 73.9162470136, Venusaur, Vileplume, Victreebel, Dragonite, Jolteon, Lapras, 25.4820790291, 5, 268.91030401, 42.4701864504, Kingler, Dragonite, Vaporeon, Kingler, Gastly, Weezing, 37.6023266315, 5, 280.26550385, 48.3064333488
Bellsprout, Jigglypuff, Flareon, Kingler, Electabuzz, Charmander, Gyarados, Marowak, Kabuto, Persian, Nidoking, Diglett, 27.7789320946, 2, 555.85060902, 63.2119693639, Gyarados, Gyarados, Vaporeon, Dragonite, Dragonite, Dragonite, 26.9375953674, 4, 441.88620754, 54.1542147964, Ninetales, Dragonite, Dragonite, Bulbasaur, Meowth, Zapdos, 38.8402853012, 4, 347.7920064, 54.1406895961
Venonat, Nidorina, Victreebel, Cloyster, Nidoking, Eevee, Alakazam, Venonat, Arcanine, Pinsir, Venusaur, Butterfree, 28.4338393211, 3, 523.70930731, 60.7564833143, Flareon, Moltres, Moltres, Moltres, Poliwrath, Dragonite, 27.4911067486, 4, 403.56660622, 54.3974838348, Moltres, Flareon, Ninetales, Vaporeon, Pinsir, Gyarados, 39.7057170868, 4, 412.85760592, 60.3338042194
Zubat, Nidorino, Moltres, Bulbasaur, Golbat, Pidgeotto, Omastar, Jigglypuff, Dewgong, Wartortle, Kabuto, Nidoran, 25.8931462765, 2, 731.6880096, 82.5987298964, Golem, Dragonite, Rhydon, Dragonite, Gyarados, Jolteon, 25.0030026436, 5, 265.03870429, 43.1437524124, Omastar, Dragonite, Omanyte, Raichu, Clefable, Venusaur, 36.8401396275, 5, 297.81330411, 55.0689279336
Shellder, Marowak, Dodrio, Wartortle, Persian, Bellsprout, Moltres, Ekans, Abra, Gloom, Ekans, Rapidash, 26.4001626968, 2, 589.30560752, 71.7313967356, Lapras, Articuno, Gyarados, Dragonite, Jolteon, Articuno, 25.6080121994, 4, 450.77350745, 73.2334799326, Kingler, Dragonite, Hypno, Exeggcute, Seadra, Grimer, 37.6945359707, 5, 297.26550385, 48.7460754089
Gastly, Venusaur, Ekans, Vaporeon, Tauros, Weezing, Dragonite, Parasect, Hitmonchan, Chansey, Slowbro, Magmar, 26.1711473465, 3, 580.23441048, 81.5632853027, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, Rhydon, 25.4704165459, 4, 385.08160672, 60.1839034535, Golem, Slowbro, Dragonite, Lapras, Tentacruel, Pidgey, 37.4793465137, 3, 616.36560952, 71.716821081
Ekans, Omanyte, Sandslash, Mankey, Doduo, Poliwag, Scyther, Jynx, Bellsprout, Nidorino, Moltres, Zubat, 23.6048879623, 5, 287.45950365, 39.8069677101, Ninetales, Oddish, Omastar, Snorlax, Jolteon, Tentacruel, 22.8145577908, 3, 435.19010867, 59.5875715846, Dragonite, Hitmonchan, Blastoise, Omanyte, Ponyta, Geodude, 34.9649953842, 5, 187.15280376, 35.6164500706
Snorlax, Magmar, Poliwag, Arbok, Spearow, Horsea, Dragonite, Slowpoke, Wigglytuff, Voltorb, Lapras, Magneton, 25.9991075993, 3, 663.15730891, 70.2420354702, Dragonite, Dragonite, Gyarados, Dragonite, Dragonite, Gyarados, 25.1056542397, 5, 292.05440448, 50.7093260417, Dragonite, Cloyster, Seaking, Cloyster, Muk, Kabutops, 37.2277405262, 4, 394.16430581, 67.8386196783
Psyduck, Pidgey, Tangela, Ivysaur, Venomoth, Nidorina, Scyther, Ekans, Dodrio, Voltorb, Ivysaur, Staryu, 26.5643055439, 3, 430.40540618, 57.3553647433, Scyther, Flareon, Moltres, Slowbro, Charizard, Arcanine, 25.7199754715, 5, 253.45950365, 43.9126853602, Moltres, Moltres, Snorlax, Golduck, Golduck, Raichu, 38.0366251469, 5, 254.89320444, 44.5701874457
Nidoran, Nidoking, Tentacool, Machoke, Magmar, Kabuto, Articuno, Machoke, Omanyte, Pidgey, Slowbro, Pidgey, 27.0820784569, 2, 639.28570919, 77.052116343, Hypno, Snorlax, Gyarados, Slowbro, Jolteon, Gyarados, 26.2196652889, 4, 495.54670789, 60.6705552292, Gyarados, Gyarados, Snorlax, Magnemite, Charmander, Pidgeotto, 38.316483736, 5, 279.11860462, 49.153124173
