Machamp, Moltres, Charizard, Weezing, Clefable, Lapras, Gyarados, Slowpoke, Gyarados, Chansey, Cloyster, Onix, 11.4619505405, 0, 1156.99921464, 139.240919899, Slowbro, Gyarados, Gyarados, Gyarados, Dragonite, Poliwrath, 10.8763697147, 3, 689.23720924, 88.00559992, Nidoking, Golem, Gyarados, Poliwrath, Charmeleon, Koffing, 16.3296794891, 3, 601.81920864, 80.7018580551
Vaporeon, Arbok, Oddish, Nidoqueen, Butterfree, Ponyta, Dragonite, Jigglypuff, Zubat, Seaking, Tangela, Charizard, 12.9067866802, 1, 843.47271209, 80.6257221285, Dragonite, Dragonite, Snorlax, Snorlax, Dragonite, Gyarados, 12.5682282448, 4, 427.70790793, 62.8503273663, Poliwrath, Exeggutor, Muk, Gyarados, Gyarados, Dragonite, 18.0292375088, 3, 646.55960932, 81.7319729515
Muk, Eevee, Poliwag, Chansey, Moltres, Venonat, Rhydon, Jigglypuff, Fearow, Omastar, Jynx, Spearow, 12.606333971, 3, 667.67370879, 98.1872388079, Dragonite, Dragonite, Dragonite, Rhydon, Charizard, Dragonite, 12.0718612671, 4, 363.08160672, 67.9034616163, Nidoqueen, Electrode, Rhydon, Golem, Kabuto, Growlithe, 17.4577233791, 4, 489.7920064, 93.4793946473
Scyther, Shellder, Tauros, Gengar, Geodude, Starmie, Dragonite, Sandslash, Cubone, Mankey, Kingler, Ponyta, 14.0429730415, 1, 701.1060102, 72.8890976952, Zapdos, Dragonite, Rhydon, Rhydon, Snorlax, Dragonite, 13.605038166, 3, 592.46260942, 60.2773147371, Jolteon, Muk, Snorlax, Dragonite, Jynx, Bellsprout, 18.9916031361, 4, 607.32130771, 71.4456375367
Dratini, Weepinbell, Golduck, Diglett, Machop, Starmie, Dragonite, Ponyta, Psyduck, Gengar, Koffing, Muk, 13.894317627, 3, 482.62940698, 50.4269250262, Hypno, Vileplume, Gyarados, Slowbro, Slowbro, Tentacruel, 13.4361319542, 4, 369.7920064, 52.0561005913, Slowbro, Exeggutor, Dragonite, Gyarados, Raichu, Slowpoke, 18.7709460258, 5, 345.11860462, 48.4682594929
Tentacool, Dewgong, Ponyta, Fearow, Paras, Scyther, Machamp, Golduck, Marowak, Paras, Pidgeot, Chansey, 14.5984482765, 2, 661.34990933, 72.9678982558, Snorlax, Kabutops, Alakazam, Golem, Jolteon, Arcanine, 14.157327652, 3, 546.25430881, 72.3922609157, Jolteon, Gyarados, Golem, Golem, Jolteon, Jolteon, 19.9355678558, 4, 338.24420614, 48.7936744105
Weezing, Raichu, Sandslash, Nidoqueen, Ponyta, Dratini, Rhydon, Drowzee, Horsea, Blastoise, Pidgey, Mr. Mime, 13.617095232, 1, 727.62241008, 80.7527570115, Dragonite, Dragonite, Dragonite, Gyarados, Gyarados, Dragonite, 13.1642971039, 4, 403.08160672, 55.5657536133, Dragonite, Snorlax, Omastar, Vaporeon, Exeggutor, Sandshrew, 18.3296968937, 4, 547.46680756, 75.2810411489
Porygon, Geodude, Pidgeot, Squirtle, Tangela, Seaking, Golem, Ninetales, Pidgeot, Blastoise, Wigglytuff, Weezing, 13.9703705311, 3, 493.1430081, 71.1884170019, Golem, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, 13.678986311, 5, 320.03870429, 54.4437156182, Golem, Dragonite, Charizard, Dragonite, Hypno, Articuno, 19.0259754658, 5, 320.03870429, 54.4437156182
Farfetch'd, Golduck, Ivysaur, Muk, Rapidash, Venonat, Dragonite, Gastly, Venomoth, Electabuzz, Gyarados, Pidgeotto, 13.7857158184, 2, 597.51110937, 70.2326242006, Dragonite, Dragonite, Dragonite, Dragonite, Rhydon, Golem, 13.3624646664, 4, 375.08160672, 56.0541726236, Dragonite, Alakazam, Dragonite, Dragonite, Blastoise, Ninetales, 18.763146162, 4, 370.29270609, 51.704391397
Machamp, Porygon, Scyther, Arbok, Parasect, Slowbro, Dragonite, Golduck, Zapdos, Abra, Shellder, Butterfree, 13.4941895008, 0, 826.65381046, 88.3332140527, Dragonite, Gyarados, Dragonite, Dragonite, Dragonite, Dragonite, 13.0661277771, 4, 520.61370679, 66.4773038442, Muk, Articuno, Arcanine, Dragonite, Alakazam, Arcanine, 18.055267334, 3, 596.91480916, 76.2310638764
Wartortle, Gengar, Lapras, Kingler, Dragonite, Shellder, Snorlax, Arbok, Arcanine, Vaporeon, Clefable, Nidoqueen, 13.7684984207, 1, 1125.22461482, 107.841278443, Snorlax, Snorlax, Jolteon, Snorlax, Lapras, Lapras, 13.3846306801, 3, 935.63391213, 103.486331964, Machamp, Vaporeon, Golem, Lapras, Golem, Articuno, 18.6580030918, 2, 902.00481216, 94.0775464487
